name,id,categories,lat,long,checkins
Harley's Irish Pub,4c65d31d19f3c9b6c44e9eff,Bar,40.88987955,-74.0384899,503
235th at Riverdale Ave.,4ea44031dab4725270aeba49,Cocktail Bar,40.8851895318,-73.9073662617,67
The Punchbowl,4c12db67a5eb76b08301bfb7,Bar,40.8849864193,-73.9006027871,463
Gleeson's Bar & Grill,4b7dbc4df964a5205bd12fe3,Sports Bar,40.894064,-73.896677,751
Cue Lounge,4e33512f227111ae768d89f2,Bar,40.8863556974,-73.8568782806,579
Club Mystique,4bf0d45af45ec9282f44943c,Nightclub,40.8841492764,-73.8564760039,650
Bronkers Tap House,514df8b1e4b01417e48ba81c,Pub,40.907447183,-73.8725531126,331
Jabba earthstrong party,4fd41cb3e4b0f961a803f76c,Bar,40.8848733889,-73.8537285833,3
Irelands 32,51a672c0498ec3d7ab16234d,Bar,40.9067854584,-73.8720362949,238
Behan's Pub,4b79d41ef964a520b9142fe3,Bar,40.8985583089,-73.8675341802,184
Joe's American Bar & Grill,49cfec38f964a520e55a1fe3,American Restaurant,40.9192202006,-74.074716568,4789
Houlihan's,4b5923ecf964a5209e7e28e3,American Restaurant,40.9199660469,-74.0666055679,7735
Oak Ale House Restaurant & Sports Bar,4b80bfabf964a520e98930e3,Sports Bar,40.9039554973,-74.0622240377,2733
The post,4e7423fad1643f93b15668b7,Bar,40.8884431175,-73.9868796885,31
Stack's Tavern,4dfa7a3d1520879dfb8bb42e,Dive Bar,40.8828094292,-73.9022612572,66
Raine Lounge,4d16c002bb64224b74edbb65,Lounge,40.88037,-73.9031141996,838
Riverdale City Grill,4b09ae2af964a520871b23e3,Bar,40.8863234237,-73.9071193817,1675
Bottom Line Ale House,4ba2d7b2f964a520811d38e3,Bar,40.8837665834,-73.8983345032,520
Fenwick's Bar & Grill,4b228503f964a520394824e3,Bar,40.887145,-73.904555,1004
Dan Rooney's Bar and Grill,5137b53ce4b08fbb2ef5fdec,Pub,40.9197907432,-73.8642092104,314
Donnie & Juniors,4b8c7598f964a520dbd132e3,Dive Bar,40.8716307898,-74.0875482559,451
Legal Sea Foods - Paramus,4bfda0fe4cf820a1e6c0ecf4,Seafood Restaurant,40.9160864294,-74.0749879037,2432
Annie's Place,4effaf7902d580f8efcdffb3,Bar,40.9164242544,-74.0678574546,498
Bahama Breeze,509f9fa2e4b0df8f7f8bf62b,Caribbean Restaurant,40.9167477,-74.05872458,2921
Miller's Ale House,501ec2b2e4b0abe6106743a7,American Restaurant,40.9141738585,-74.0501248192,9754
スナックみゆき,50528374e4b0b914240ff910,Lounge,40.8752571591,-74.0211367607,25
Swainfest,518ebd1de4b056cde9a2bd11,Wine Bar,40.8793735418,-73.9930777409,1
Irish Eyes,4b84d39bf964a520ff4431e3,Pub,40.8684829078,-73.9180755615,567
The Bridge Tavern,4f17a65ca17c202e104c1aee,Sports Bar,40.8834907947,-73.901553154,382
Escape Restaurant & Lounge,52f0712a11d220b0752252c0,Lounge,40.8827100628,-73.881278336,20
essence lounge,50de8fb5e4b0c9707c455066,Lounge,40.8712937688,-73.8647088208,18
John Mulligans Fireside Pub,4c1dba9db9f876b01b2a7e46,Pub,40.8978241682,-73.86709476,122
Cue Lounge,4f598cb2e4b0f78044c865d1,Other Nightlife,40.8739235793,-73.8549231159,156
Sue's Rendezvous,4c2af1fa8ef52d7f95a930ba,Strip Club,40.9139405838,-73.8373776914,935
Tranquility Bar & Lounge,53756c4f498ec2cf430b2ac8,Bar,40.8773939173,-73.845688272,2
Xpressions Night Club,4c50ba87bd099521a94f555e,Bar,40.8796494883,-73.8440055082,231
Lloyd's Backyard Oasis,5232880611d2f0cf7f476a78,Bar,40.8696136475,-74.0820083618,7
Johnny A's Players Club,4bcf5f96caff9521d20bcdf0,Strip Club,40.872698,-74.0490586167,203
Feathers,4bb41dcd9af3b71349078c28,Gay Bar,40.910667298,-74.0359707952,3497
Buddy's Place,4b89efe6f964a520625732e3,Bar,40.875965,-74.028547,454
"Casa Hispaniola,  Fine Tobacconist",4daf208d5da3cca6f0b83b68,Smoke Shop,40.896998,-73.971036,1238
The Liffy II Bar,4b2b1dfbf964a52083b424e3,Bar,40.8691360319,-73.9171837908,436
Indian Road Café Pub Quiz,5091c0d2e4b07ba8b08b7b29,Pub,40.8729233817,-73.9185788732,243
Dubai Lounge,4c539fcf1b46c9b690f63ecd,Lounge,40.8782315875,-73.9030659133,313
Mr. McGoo's,4c1c4501b9f876b005c37b46,Bar,40.8793525328,-73.9043462672,380
The Heritage,4bb24ac935f0c9b6a913bb83,Pub,40.90335705,-73.865926,885
Mingles,4ba2a899f964a5206b0d38e3,Cocktail Bar,40.8841645042,-73.8324267854,396
Cjs,4e77fc51b0fb305db5a391a2,Bar,40.8713357863,-73.8479166198,50
Sportsmen's Tavern,4bd0dd5c9854d13aa4a4f84d,Dive Bar,40.8829275642,-74.1078315276,536
Napa Valley Wine Train,4fde20f3e4b070b1a5e12080,Wine Bar,40.8664215134,-74.1057208978,10
Maywood Inn's Twin Door Tavern,4b7c8513f964a52075982fe3,American Restaurant,40.9056630681,-74.0647883532,691
TGI Fridays,509d636d5d2463e871548040,American Restaurant,40.90891341,-74.03354953,4457
Lenora's,4baec658f964a520f9d63be3,Bar,40.9055141418,-74.0407386446,1420
Rockefella's Grande Parlor,53668b7e498ef8d7529882fc,Gay Bar,40.882108,-73.98894,3
Grand Cru,4a8df2c9f964a520851120e3,New American Restaurant,40.8953876342,-73.9745920321,675
Negro Claro Lounge,4e61cca2d164ddd5e57fb5e1,Lounge,40.8623067931,-73.9202265502,651
Cafe Tabaco y Ron,4ba56909f964a520710439e3,Lounge,40.8689989743,-73.9158174041,818
Blackstone Bar & Grill,53683f34498e6d121eeecbdf,Bar,40.887171009,-73.9073720031,26
Rory Dolan's,4ac7e99bf964a5208cba20e3,Bar,40.9049215646,-73.8688032816,3860
Giac's Crib,4c6f63cd34443704df24215f,Home (private),40.8728846544,-74.0828838593,990
Poitin Still,4b6fa221f964a52088f82ce3,Pub,40.9036486325,-74.0422877396,3685
Hooters,4ba01f4ff964a520cf5b37e3,Wings Joint,40.9037749504,-74.0318683983,4804
The Cabana,4e0c1deaaeb7af850d663110,Home (private),40.8809680856,-74.0006327811,256
The Assembly Steak House,4bfd50e1bf6576b0fa11adb8,American Restaurant,40.8798729883,-73.9509487152,1027
Mexicali Live,457d668cf964a520233f1fe3,Rock Club,40.901582,-74.00494,2851
Club Cama with Special Guests...Beat Sheets,5174b057e4b049eeb012dc68,Nightclub,40.865841,-73.961553,230
La Marina,50034934e4b07b9576e76545,Other Nightlife,40.8689149188,-73.932167485,453
Abu Dhabi Hookah Lounge,503040d3e4b07f473a3d5f1d,Hookah Bar,40.8618066949,-73.9270065653,105
Tette Club,4f99f9cbe4b0c308b6dffff4,Nightclub,40.8651779047,-73.9188257386,515
Beer Cave,4f3ff714e4b0b019c6715253,Brewery,40.8585633769,-73.8849563305,77
Jolly Tinker,4b1712a8f964a520dbc123e3,Bar,40.8674836854,-73.8836126865,902
Night Night,52833aa7498e582c7ef39f6d,Other Nightlife,40.8814263182,-73.8753266781,106
